년월,주택담보대출금리,미국달러,일본엔,유로,소비자물가지수,소비자물가지수증감률,KOSPI_종가,KOSDAQ_종가,무담보콜금리,KORIBOR,CD,국고채_1년,국고채_10년,면적당가격
201608,2.7,1118.5,10.8629,1246.85,95.677,0.3,2034.65,663.69,1.23,1.27,1.35,1.265,1.417,691.0534837846948
201609,2.8,1096.3,10.8368,1230.32,96.24699999999999,0.6,2043.63,681.21,1.24,1.31,1.34,1.322,1.5120000000000002,695.7042232973168
201610,2.8899999999999997,1145.2,10.9442,1257.14,96.379,0.1,2008.1899999999998,624.68,1.23,1.37,1.35,1.369,1.596,693.3168693920014
201611,3.04,1168.5,10.3881,1244.34,96.237,-0.1,1983.48,596.11,1.23,1.48,1.42,1.5110000000000001,1.965,654.3114996586502
201612,3.13,1208.5,10.3681,1267.6,96.342,0.1,2026.4600000000003,631.44,1.22,1.51,1.54,1.576,2.159,680.5219936991497
201701,3.16,1157.8,10.1789,1239.48,97.366,1.1,2067.57,616.13,1.24,1.42,1.5,1.496,2.111,693.6247834971158
201702,3.1899999999999995,1132.1,10.0404,1198.55,97.632,0.3,2091.64,612.2,1.23,1.41,1.49,1.465,2.163,707.9804291805912
201703,3.21,1116.1,9.9852,1192.61,97.565,-0.1,2160.23,619.28,1.23,1.43,1.48,1.485,2.221,716.0266253696336
201704,3.21,1130.1,10.1596,1228.14,97.442,-0.1,2205.44,628.24,1.23,1.39,1.43,1.467,2.182,749.6515812799427
201705,3.26,1123.9,10.143,1255.5600000000002,97.546,0.1,2347.3799999999997,652.04,1.23,1.36,1.39,1.4640000000000002,2.257,783.1941027180653
201706,3.2200000000000006,1139.6,10.1755,1303.99,97.338,-0.2,2391.79,669.04,1.24,1.3600000000000003,1.38,1.4610000000000003,2.165,724.5863264692035
201707,3.28,1119.1,10.122600000000002,1315.6699999999998,97.499,0.2,2402.71,650.47,1.24,1.37,1.39,1.464,2.252,769.9677926824581
201708,3.28,1122.8,10.1744,1335.63,98.058,0.6,2363.19,657.83,1.23,1.36,1.39,1.471,2.287,712.3501725351539
201709,3.24,1146.7,10.2042,1350.87,98.172,0.1,2394.47,652.82,1.25,1.35,1.38,1.481,2.286,798.9685451519736
201710,3.33,1125.0,9.9417,1310.06,98.077,-0.1,2523.43,694.2,1.24,1.41,1.38,1.654,2.455,805.1904555895578
201711,3.39,1082.4,9.6651,1282.7,97.347,-0.7,2476.37,771.42,1.26,1.57,1.45,1.787,2.54,867.555598985743
201712,3.42,1071.4,9.4911,1279.25,97.698,0.4,2467.49,798.42,1.51,1.67,1.66,1.833,2.472,868.434418354488
201801,3.47,1071.5,9.8502,1329.09,98.106,0.4000000000000001,2566.46,913.57,1.49,1.6499999999999997,1.66,1.839,2.626,852.0327597956708
201802,3.46,1071.0,9.9725,1310.42,98.855,0.8,2427.36,857.06,1.49,1.64,1.65,1.8509999999999998,2.77,771.4827773024978
201803,3.45,1066.5,10.0146,1311.95,98.751,-0.1,2445.85,871.09,1.49,1.64,1.65,1.875,2.708,746.9826068603797
201804,3.47,1076.2,9.8594,1304.46,98.931,0.2,2515.38,875.95,1.47,1.65,1.65,1.873,2.655,750.2962472543626
201805,3.49,1081.3,9.9398,1261.34,98.979,0.0,2423.01,879.66,1.5,1.65,1.65,1.8869999999999998,2.757,753.7499288522937
201806,3.46,1121.7,10.1479,1297.02,98.779,-0.2,2326.13,818.2200000000001,1.49,1.6700000000000002,1.65,1.8509999999999998,2.656,761.040718352082
201807,3.44,1116.7,10.0595,1307.43,98.59000000000002,-0.2,2295.26,775.52,1.49,1.68,1.65,1.842,2.549,871.5069736294995
201808,3.36,1108.8,9.9865,1293.19,99.462,0.9,2322.88,816.97,1.5,1.67,1.65,1.83,2.458,886.8430053726554
201809,3.29,1112.7,9.8117,1294.57,100.22099999999999,0.8,2343.07,822.27,1.54,1.67,1.65,1.79,2.315,873.0074106150707
201810,3.31,1140.6,10.0889,1294.0099999999998,100.041,-0.20000000000000004,2029.69,648.67,1.52,1.7600000000000002,1.68,1.853,2.338,829.6834032079373
201811,3.2799999999999994,1121.8,9.8898,1277.67,99.33,-0.7,2096.86,695.76,1.51,1.81,1.71,1.844,2.209,828.9119749888198
201812,3.19,1118.1,10.1318,1279.16,98.988,-0.3,2041.0399999999997,675.65,1.77,1.89,1.9099999999999997,1.776,1.992,809.2033647964781
201901,3.12,1117.2,10.248099999999999,1283.05,98.884,-0.1,2204.85,716.86,1.75,1.86,1.87,1.733,1.991,831.7803588628243
201902,3.08,1117.8,10.0762,1271.5,99.311,0.4,2195.44,731.25,1.76,1.86,1.8700000000000003,1.76,1.9880000000000002,852.7714604859501
201903,3.04,1137.8,10.2824,1277.46,99.121,-0.2,2140.67,729.31,1.76,1.87,1.9,1.769,1.9530000000000003,900.5243905691086
201904,2.98,1158.2,10.3702,1295.33,99.48099999999998,0.4,2203.59,754.7400000000001,1.75,1.84,1.86,1.751,1.889,979.1866173837868
201905,2.93,1190.0,10.8582,1324.83,99.652,0.2,2041.74,696.47,1.75,1.8,1.84,1.711,1.828,1068.9586887887597
201906,2.74,1156.8,10.7335,1315.11,99.491,-0.2,2130.62,690.53,1.7599999999999998,1.72,1.8,1.56,1.6180000000000003,1098.075009767414
201907,2.64,1182.0,10.8845,1318.82,99.187,-0.3,2024.5499999999997,630.18,1.63,1.63,1.68,1.478,1.506,1080.7725466799554
201908,2.47,1215.2,11.4066,1343.83,99.425,0.2,1967.7900000000002,610.55,1.51,1.4600000000000002,1.49,1.186,1.254,1024.323112015939
201909,2.51,1201.3,11.134,1314.64,99.794,0.4,2063.05,621.76,1.52,1.4900000000000002,1.54,1.228,1.4200000000000002,1076.9914643687964
201910,2.5,1168.4,10.7405,1303.17,100.041,0.19999999999999998,2083.48,658.52,1.35,1.46,1.46,1.298,1.5769999999999997,1064.5337041597097
201911,2.45,1179.3,10.7689,1298.47,99.481,-0.6,2087.96,632.99,1.28,1.48,1.52,1.386,1.75,1062.763037638935
201912,2.45,1157.8,10.6347,1297.43,99.719,0.2,2197.67,669.83,1.28,1.51,1.53,1.35,1.653,1008.8661149627453
202001,2.51,1183.5,10.8668,1305.76,100.08999999999999,0.4,2119.01,642.48,1.27,1.45,1.47,1.316,1.656,904.3712174057085
202002,2.52,1215.9,11.0995,1337.61,100.16,0.1,1987.01,610.73,1.24,1.34,1.42,1.214,1.54,938.9193024565778
202003,2.48,1222.6,11.3083,1348.65,99.94,-0.2,1754.64,569.07,0.9800000000000001,1.16,1.23,1.03,1.485,915.5413359114631
202004,2.58,1225.2,11.4714,1326.4,99.5,-0.4,1947.56,645.18,0.74,1.06,1.1,0.893,1.504,951.9649412457052
202005,2.52,1239.4,11.5063,1372.57,99.44,-0.1,2029.6,713.68,0.7,0.9100000000000001,1.02,0.7790000000000001,1.394,1043.3761286934894
